,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
270,CA,C_LT_LUMST_LB_N,2040,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
271,CA,C_LT_LUMST_LB_N,2045,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
272,CA,C_LT_LUMST_LB_N,2050,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
273,CA,C_LT_LUMST_LFL_N,2020,27.266089719321144,M$/giga lumens,5e-06,giga lumens
274,CA,C_LT_LUMST_LFL_N,2025,27.266089719321144,M$/giga lumens,5e-06,giga lumens
275,CA,C_LT_LUMST_LFL_N,2030,17.763525538511747,M$/giga lumens,5e-06,giga lumens
276,CA,C_LT_LUMST_LFL_N,2035,17.763525538511747,M$/giga lumens,5e-06,giga lumens
277,CA,C_LT_LUMST_LFL_N,2040,12.715160264360312,M$/giga lumens,5e-06,giga lumens
278,CA,C_LT_LUMST_LFL_N,2045,12.715160264360312,M$/giga lumens,5e-06,giga lumens
279,CA,C_LT_LUMST_LFL_N,2050,12.715160264360312,M$/giga lumens,5e-06,giga lumens
283,CA,C_LT_MERCST_HB_N,2020,16.468600757675905,M$/giga lumens,1.58e-05,giga lumens
284,CA,C_LT_MERCST_HB_N,2025,16.468600757675905,M$/giga lumens,1.58e-05,giga lumens
285,CA,C_LT_MERCST_HB_N,2030,15.991400357768446,M$/giga lumens,1.58e-05,giga lumens
286,CA,C_LT_MERCST_HB_N,2035,15.991400357768446,M$/giga lumens,1.58e-05,giga lumens
287,CA,C_LT_MERCST_HB_N,2040,15.537541281769505,M$/giga lumens,1.58e-05,giga lumens
288,CA,C_LT_MERCST_HB_N,2045,15.537541281769505,M$/giga lumens,1.58e-05,giga lumens
289,CA,C_LT_MERCST_HB_N,2050,15.537541281769505,M$/giga lumens,1.58e-05,giga lumens
290,CA,C_LT_MERCST_LB_N,2020,26.05361378431303,M$/giga lumens,7.4e-06,giga lumens
291,CA,C_LT_MERCST_LB_N,2025,26.05361378431303,M$/giga lumens,7.4e-06,giga lumens
292,CA,C_LT_MERCST_LB_N,2030,25.480489655370118,M$/giga lumens,7.4e-06,giga lumens
293,CA,C_LT_MERCST_LB_N,2035,25.480489655370118,M$/giga lumens,7.4e-06,giga lumens
294,CA,C_LT_MERCST_LB_N,2040,24.935052682414792,M$/giga lumens,7.4e-06,giga lumens
295,CA,C_LT_MERCST_LB_N,2045,24.935052682414792,M$/giga lumens,7.4e-06,giga lumens
296,CA,C_LT_MERCST_LB_N,2050,24.935052682414792,M$/giga lumens,7.4e-06,giga lumens
299,CA,C_LT_MTHALST_HB_N,2020,9.543477145122793,M$/giga lumens,3.2000000000000005e-05,giga lumens
